text,label
win money now click here,1
free lottery prize claim now,1
limited offer buy now discount,1
congratulations you won a free gift,1
urgent your account needs verification,1
meeting scheduled for tomorrow at 10am,0
please review the attached report,0
let us catch up over lunch this week,0
your invoice for last month is attached,0
can you send me the project file,0
free cash prize claim immediately,1
win a free vacation click link now,1
team sync moved to thursday,0
please find the quarterly summary attached,0
exclusive deal just for you act now,1
reminder your appointment is tomorrow,0
earn money fast working from home,1
your package has been shipped,0
important update regarding your account security,0
lowest price guaranteed buy now,1
